ID,Gender,Program Duration,Year of Student,HSC Percentage,CGPA
192,Female,4,2,92,3.86
193,Female,4,4,76.36,3.41
194,Female,4,2,99.45,3.47
195,Female,4,1,88.9,3.58
196,Female,4,4,80,3.4
197,Female,4,4,78.73,3.62
198,Female,4,1,85,2.91
199,Female,4,2,98.6,3.21
200,Male,4,3,86.4,3.23
201,Female,4,1,92,3.57
202,Male,4,2,61.9,3.16
203,Male,4,4,89,3.59
204,Female,4,2,59.54,3.26
205,Male,4,2,82,2.72
206,Male,4,4,63.5,3.31
207,Male,4,2,93.3,3.54
208,Female,4,1,94.55,3.43
209,Female,4,4,78,2.92
210,Female,4,3,83.33,3.79
211,Female,4,3,80.78,3.48
212,Male,4,1,84.72,3.21
213,Male,4,1,74.18,3.07
214,Male,5,2,95.72,2.67
215,Male,4,3,74.09,3.7
216,Female,4,1,91.72,3.78
217,Male,4,1,96.54,1.6
218,Female,5,4,85.54,2.9
219,Male,4,2,88.9,3.37
220,Female,4,1,86.27,4
221,Male,4,1,79.84,2.09
222,Male,4,1,94.87,3.2
223,Female,4,2,76,3.08
224,Male,4,2,92.8,2.17
225,Female,4,2,86.18,3.23
226,Female,4,1,98.81,3.49
227,Female,4,3,93.89,3.45
228,Male,4,4,71.82,3.46
229,Male,5,1,95.9,3.84
230,Female,4,1,79,3.17
231,Male,5,1,93.09,3.73
232,Male,5,2,92.93,2.72
233,Male,5,4,85,2.69
234,Female,4,2,98.54,3.07
235,Male,4,2,91.6,2.57
236,Female,4,2,72.82,3.14
237,Male,4,2,98.54,3.81
238,Female,4,1,92.63,3.04
239,Female,4,2,89.7,3.84
240,Female,5,3,88.18,2.61
241,Female,4,2,94.54,3.67
242,Male,4,1,72.88,2.99
243,Female,4,4,86.93,3.34
244,Female,4,3,83.09,3.85
245,Male,4,3,84.54,3.33
246,Male,4,1,86.5,3.52
247,Male,4,4,91.93,2.86
248,Female,4,3,85,3.43
249,Female,4,3,94.18,3.8
250,Female,4,2,85.54,3.29
251,Female,4,1,92.18,3.79
252,Female,4,2,86.63,3.86
253,Female,4,3,88.07,3.53
254,Male,4,2,72.67,3.37
255,Male,4,1,50.55,2.76
256,Male,4,4,70.63,3.17
257,Female,4,1,75.8,3.86
258,Female,4,1,59.18,2.48
259,Female,4,2,92.18,3.52
260,Male,4,1,93.36,3.74
261,Male,4,4,83,3.02
262,Female,4,1,78.55,3.2
263,Male,4,2,90.94,3.68
264,Male,4,2,83.89,2.62
265,Female,4,2,92,3.92
266,Female,4,1,99.8,3.98
267,Female,4,1,87.09,3.41
268,Female,4,2,96,3.64
269,Female,4,4,82.45,3.46
270,Female,4,2,51,3.12
271,Male,4,3,87.09,3.52
272,Female,4,2,89,3.52
273,Female,4,4,63,3.49
274,Female,4,1,72,1.92
275,Female,4,4,78.36,3.5
276,Male,4,1,92.92,3.69
277,Female,4,4,80.8,3.35
278,Male,4,2,96.9,3.57
279,Female,4,2,77.1,2.99
280,Female,4,3,93,3.56
281,Female,4,4,83,3.34
282,Female,4,4,82.72,3.59
283,Male,5,4,88.89,2.39
284,Male,4,2,91,3.01
285,Female,5,3,94.54,3.26
286,Female,4,1,94,3.77
287,Female,4,2,92.45,3.74
288,Male,4,3,84.36,3.29
289,Female,4,2,94.54,3.26
290,Male,4,2,75.5,1.93
291,Male,4,2,81.36,3.75
292,Female,4,1,90,3.62
293,Female,4,3,68.72,1.82
294,Female,4,2,87.63,2.52
295,Male,4,2,55.85,3.33
296,Male,5,2,88.9,2.73
297,Female,4,2,85.31,3.12
298,Male,4,3,82.92,3.12
299,Male,4,3,65,3.5
300,Female,4,3,83,3.19
301,Female,4,3,73,2.84
302,Female,4,4,83,3.54
303,Male,5,1,92.91,3.73
304,Female,4,1,86.36,3.86
305,Female,4,3,78.6,3.7
306,Female,4,2,97.73,3.69
307,Female,4,1,79.09,3.4
308,Male,4,1,78.72,3.02
309,Female,4,1,73.91,3.02
310,Male,4,3,74.78,2.5
311,Female,5,2,98.36,2.89
312,Male,4,3,93.81,2.89
313,Female,4,1,96.89,3.52
314,Female,4,1,97.45,3.77
315,Male,4,1,71.45,2.93
316,Female,4,3,70,2.98
317,Female,4,2,89.63,3.73
318,Male,4,3,79.94,2.74
319,Male,4,2,75.9,2.38
320,Female,4,1,85.9,3.61
321,Female,4,1,87.54,3.4
322,Female,4,1,71.45,2.93
323,Female,4,1,86.63,3.54
324,Female,4,2,92.09,3.14
325,Male,4,4,84.5,2.9
326,Male,4,1,75,3.09
327,Female,4,2,77.77,2.49
328,Male,4,4,74.81,3.37
329,Female,4,1,84.18,3.45
330,Male,4,1,82.72,3.35
331,Female,4,4,84.3,3.87
332,Male,4,3,91.08,3.44
333,Female,4,4,80.78,3.73
334,Female,4,3,92.69,2.87
335,Female,4,2,73.27,3.73
336,Male,5,1,83.63,3.38
337,Male,5,3,92.18,2.77
338,Male,4,3,74,2.08
339,Male,4,4,57.18,2.94
