ID,Gender,Program Duration,Year of Student,HSC Percentage,CGPA
4412,Male,4,1,87.45,3.01
4413,Male,4,4,78.81,3.06
4414,Female,5,1,78,3.18
4415,Male,4,2,99.45,3.84
4416,Male,4,4,43,3.58
4417,Female,4,2,88.88,3.2
4418,Male,4,1,83,2.84
4419,Female,4,1,94.82,3.82
4420,Female,4,4,77.82,3.54
4421,Male,4,4,79.71,3.14
4422,Male,5,1,98,3.92
4423,Male,5,4,76.36,2.37
4424,Female,4,3,86.72,3.52
4425,Male,5,3,90.36,2.98
4426,Female,4,3,92.36,3.18
4427,Male,5,1,94,3.79
4428,Female,4,2,98.27,3.91
4429,Female,4,3,68.01,2.79
4430,Female,4,1,91.9,3.69
4431,Male,4,4,77,3.41
4432,Male,4,4,79.36,3.02
4433,Male,4,4,80,3.64
4434,Female,4,3,83.09,3.96
4435,Male,5,1,93.54,3.75
4436,Female,4,3,94.9,3.43
4437,Female,4,1,94.36,3.78
4438,Female,4,3,77,2.47
4439,Female,4,4,77.4,2.59
4440,Male,4,3,80.45,3.76
4441,Female,4,1,94.54,3.28
4442,Male,4,4,70.8,2.7
4443,Female,4,1,87.27,3.52
4444,Female,4,2,72.45,3.16
4445,Male,4,4,68,3.57
4446,Male,4,2,82.81,2.66
4447,Male,4,4,77.45,3.21
4448,Female,4,4,63.63,3.12
4449,Female,5,4,89.81,2.62
4450,Female,4,2,96.9,3.82
4451,Female,4,1,82.9,3.05
4452,Female,4,4,90.8,3.63
4453,Male,4,4,82.73,3
4454,Male,4,4,72.27,3.47
4455,Male,4,2,72.45,3.61
4456,Female,4,1,91.36,3.67
4457,Female,4,1,99.63,3.98
4458,Female,4,2,85,3.67
4459,Male,5,3,84.72,2.85
4460,Female,4,1,76.6,3.12
4461,Female,4,3,80.81,3.59
4462,Male,4,2,83,2.37
4463,Female,4,1,80,3.16
4464,Female,4,3,95,3.41
4465,Female,4,1,98.72,3.82
4466,Male,4,2,66.54,2.2
4467,Male,5,1,94.54,3.79
4468,Female,4,1,92.85,3.81
4469,Female,4,2,99,3.51
4470,Male,4,1,93.45,3.51
4471,Male,4,4,92.48,3.17
4472,Female,4,1,80.45,3.17
4473,Male,4,1,93.18,3.2
4474,Male,4,2,69,2.65
4475,Female,4,4,82.9,3.88
4476,Female,4,1,97.6,3.9
4477,Female,5,4,86.81,2.14
4478,Female,4,1,65,3.3
4479,Male,5,5,86,3.23
4480,Male,4,1,60.69,3.54
4481,Male,4,1,91.9,3.88
4482,Male,5,4,88.81,2.28
4483,Male,4,1,85.37,3.45
4484,Female,4,2,94.54,3.73
4485,Female,4,3,84.72,2.9
4486,Male,4,4,83.54,3.55
4487,Male,4,2,83,2.03
4488,Male,5,4,80,2.25
4489,Male,4,1,97.9,3.91
4490,Female,4,1,65.35,3.88
4491,Female,4,4,82.78,3.78
4492,Female,4,1,75,3.46
4493,Female,4,1,80.36,3.46
4494,Female,4,1,93.36,3.74
4495,Male,4,3,87.45,2.87
4496,Female,4,2,96.54,3.92
4497,Male,4,4,83.73,3.15
4498,Female,4,3,85,3.59
4499,Male,5,4,86.45,3.13
4500,Female,4,3,93.09,3.91
4501,Female,4,1,82,3.32
4502,Male,4,3,70,3.3
4503,Female,4,4,58.45,2.67
4504,Female,4,2,85.36,3.43
4505,Male,4,1,75.63,3.09
4506,Female,4,4,84.72,3.59
4507,Male,5,1,90.81,3.65
4508,Male,5,3,89.36,2.75
4509,Female,4,2,92.72,3.73
4510,Female,4,1,88.72,3.74
4511,Male,4,1,91.45,3.54
4512,Female,4,3,72.9,3.13
4513,Male,5,5,98.63,2.81
4514,Female,4,2,71.09,3.19
4515,Female,4,1,66.55,2.79
4516,Female,5,2,99.45,3.07
4517,Female,4,2,99,3.56
4518,Female,4,2,70,3.34
4519,Female,4,2,84,2.85
4520,Male,4,2,91.9,3.39
4521,Male,4,2,83.18,3.88
4522,Female,4,4,90.78,3.25
4523,Female,5,4,81.85,2.72
4524,Female,4,1,84.45,2.35
4525,Male,4,1,72.3,3.3
4526,Male,4,1,80.45,3.26
4527,Male,4,4,71.09,3.08
4528,Female,4,4,83.09,3.39
4529,Male,4,4,84,3.24
4530,Male,4,2,89.09,2.26
4531,Male,4,1,91.9,3.69
4532,Female,4,4,75.09,2.84
4533,Male,5,4,82.9,2.46
4534,Female,4,3,93.6,3.91
4535,Female,4,2,88.82,2.96
4536,Male,4,2,76,3.15
4537,Male,5,1,89.36,3.6
4538,Male,4,1,61.54,2.72
4539,Male,4,2,56.36,3.36
4540,Female,4,1,62.71,1.4
4541,Male,4,2,96.81,3.14
4542,Male,4,2,80.5,3.97
4543,Female,5,2,99.64,3.01
4544,Male,4,2,62.6,2.76
4545,Female,4,2,93.81,3.41
4546,Female,4,4,88.27,3.73
4547,Male,4,3,75,2.85
4548,Female,4,4,75.73,3.67
4549,Male,4,2,77.88,3.43
4550,Male,4,3,86.91,3.5
4551,Male,4,4,78.95,2.35
4552,Male,4,2,71,3.28
4553,Male,4,2,93.63,2.74
4554,Male,4,1,57.46,3.23
4555,Female,4,1,95,3.49
4556,Female,4,3,91.09,3.44
4557,Female,4,3,87.9,3.77
4558,Female,4,4,79,3.55
4559,Female,4,3,85.09,2.99
4560,Female,4,2,94.98,3.79
4561,Male,5,4,80,2.51
4562,Male,4,1,60.36,2.49
4563,Female,5,2,96,2.51
4564,Female,4,3,61.18,3.36
4565,Female,4,2,73.18,3.48
4566,Male,4,1,67,3
4567,Female,4,2,80,3.68
4568,Female,5,2,82.92,2.78
4569,Male,4,3,89.5,3.6
4570,Female,5,2,99.27,3
4571,Male,4,1,55.45,2.88
4572,Female,4,1,90,3.62
4573,Female,4,1,90.27,3.63
4574,Male,4,4,73.81,2.96
4575,Female,4,4,92.45,3.83
4576,Female,4,2,81.18,2.45
4577,Female,5,2,98,2.95
4578,Female,4,3,86.09,3.46
4579,Male,5,1,91.09,3.66
4580,Male,4,1,71.9,2.26
4581,Male,4,1,85.63,3.66
4582,Female,4,3,79.54,3.49
4583,Female,4,1,87.72,3.5
4584,Female,5,1,97.45,3.9
4585,Male,4,3,87.45,3.43
4586,Male,4,3,90,2.55
4587,Female,5,1,99.36,3.97
4588,Female,4,1,62.36,2.6
4589,Female,4,4,69.72,3.71
4590,Male,4,2,98.09,3.58
4591,Female,5,2,87.45,2.49
4592,Male,4,2,64,2.57
4593,Female,5,4,80,2.61
4594,Male,4,4,71.63,3.39
4595,Male,4,3,88.8,2.88
4596,Female,4,4,80,2.88
4597,Male,4,4,80,2.94
4598,Female,4,3,86.9,3.55
4599,Male,4,4,82,3.05
4600,Female,4,1,90,3.62
4601,Male,4,1,83.81,3.28
4602,Male,4,4,77.5,3.24
4603,Female,4,1,94.5,3.64
4604,Female,4,3,81.6,3.76
4605,Female,4,2,82.8,3.31
4606,Female,4,3,91.55,3.69
4607,Male,4,3,90.72,3.35
4608,Male,4,2,74,3.08
4609,Female,4,1,97.91,3.63
4610,Male,4,4,82.45,2.98
4611,Female,4,3,87.9,3.62
4612,Female,4,2,89.7,3.63
4613,Male,4,1,78.45,1.98
4614,Female,4,1,83,3.36
4615,Female,4,2,98.36,3.69
4616,Female,4,2,99.18,3.98
4617,Female,4,1,44.63,1.94
4618,Female,4,1,88,2.26
4619,Male,4,1,82.5,3.6
4620,Male,4,1,80.09,3.25
4621,Female,4,2,93.63,3.31
4622,Female,4,2,89.36,3.2
4623,Male,4,3,77.18,3.2
4624,Male,5,2,98.81,2.59
4625,Male,4,1,93.27,3.64
4626,Female,4,2,94.64,4
4627,Female,4,1,75.72,3.09
4628,Male,4,4,55.54,3.36
4629,Male,4,3,91,2.91
4630,Male,4,1,61,3.16
4631,Female,4,1,93.63,2.57
4632,Male,4,1,93.45,3.86
4633,Male,4,2,81,3.18
4634,Female,4,3,81.81,3.79
4635,Female,4,1,75.4,3.84
4636,Male,4,3,76.36,3.56
4637,Female,5,2,89,2.53
4638,Female,4,4,79.09,3.82
4639,Male,4,1,95.72,3.69
4640,Male,4,4,64,2.96
4641,Male,4,1,90.9,3.62
4642,Female,4,4,65.9,3
4643,Male,5,2,93.6,2.78
4644,Female,4,1,88.8,3.58
4645,Female,4,2,60.79,2.71
4646,Male,4,1,90.9,3.06
4647,Female,4,2,97,3.21
4648,Male,5,3,75.9,2.41
4649,Male,5,3,92.27,2.79
4650,Female,4,2,98.1,3.89
4651,Female,4,1,78,2.82
4652,Female,4,1,80.73,2.88
4653,Female,4,2,97.6,3.75
4654,Female,4,3,85.9,3.79
4655,Female,4,4,67,3.63
4656,Female,4,4,73,3.51
4657,Male,4,1,71.9,2.95
4658,Female,4,1,88.18,3.83
4659,Male,5,1,93.09,3.73
4660,Female,4,1,75.09,3.42
4661,Male,4,2,83.92,3.16
4662,Female,4,1,91.6,3.68
4663,Male,4,3,75,2.93
4664,Female,4,2,93,3.66
4665,Female,4,1,82.18,3.52
4666,Female,4,1,77,3.14
4667,Male,4,4,81.45,3.4
4668,Female,4,1,91.18,3.66
4669,Female,4,3,70,3.24
4670,Female,4,1,91.81,3.66
4671,Female,4,4,51.72,3.09
4672,Female,4,3,81.56,3.16
4673,Male,4,3,85,3.11
4674,Female,4,3,83.63,3.5
4675,Female,4,4,50.82,3.15
4676,Male,5,1,96.54,3.86
4677,Male,4,4,73.6,3.07
4678,Male,4,2,58,2.75
4679,Female,4,1,82.18,3.33
4680,Female,4,4,72.82,2.16
4681,Male,4,3,78.55,2.76
4682,Female,4,4,68,2.42
4683,Male,4,4,67,2.65
4684,Female,4,2,79.54,3.32
4685,Male,4,3,88.54,3.28
4686,Male,4,4,81.27,2.69
4687,Female,5,2,99,3.15
4688,Female,4,2,94.04,3.27
4689,Female,4,3,78.09,3.46
4690,Male,4,3,76.45,2.66
4691,Male,4,1,78.27,3.2
4692,Male,4,3,87,2.95
4693,Female,4,4,87.51,3.7
4694,Female,4,1,83.54,3.42
4695,Male,4,1,78.78,2.82
4696,Female,4,3,73.54,3
4697,Female,4,1,77.73,3.82
4698,Female,4,1,92.09,3.7
4699,Male,4,1,97.54,3.9
4700,Male,4,1,85,3.43
4701,Male,4,3,87.81,3.76
4702,Female,4,2,79.54,3.12
4703,Male,4,2,74.09,3.26
4704,Female,4,2,87.18,2.97
4705,Male,4,2,69.09,3.55
4706,Male,4,4,76.45,3.26
4707,Female,4,2,76.27,3.47
4708,Female,4,2,98,3.57
4709,Female,4,2,98.91,3.69
4710,Male,4,2,91.18,3.19
4711,Male,5,1,89,3.73
4712,Male,5,1,96.45,3.86
4713,Female,4,1,70.7,2.4
4714,Female,4,4,44,3.08
4715,Male,4,1,95.27,2.26
4716,Female,4,1,89.09,3.59
4717,Female,4,2,94.36,3.68
4718,Female,4,1,96.82,3.81
4719,Female,5,2,98.18,2.9
4720,Female,4,2,79.09,3.58
4721,Female,4,1,63.27,2.63
4722,Female,4,3,82.36,3.14
4723,Female,4,4,84.8,3.67
4724,Female,4,2,82.85,3.68
4725,Female,4,2,57,2.36
4726,Male,4,2,65.18,2.67
4727,Male,4,2,79,3.34
4728,Male,4,3,80.54,3.03
4729,Male,4,2,99.45,3.82
4730,Male,4,3,86.27,2.43
4731,Male,5,1,83.18,3.37
4732,Female,4,3,82.72,3.43
4733,Female,4,3,92.81,3.77
4734,Female,4,2,76,3.13
4735,Female,4,1,97.45,3.37
4736,Female,4,1,76.27,3.66
4737,Male,4,4,82,2.63
4738,Female,4,2,89.8,3.02
4739,Male,4,3,70,2.5
4740,Female,5,4,80.72,2.35
4741,Male,5,4,77.5,2.29
4742,Female,4,4,54.18,3.15
4743,Male,4,1,82.18,2.39
4744,Male,4,3,94.85,3
4745,Male,4,1,74.3,3.04
4746,Male,4,3,87.88,3.05
4747,Female,5,2,99.96,3.18
4748,Female,4,4,89.1,3.93
4749,Female,4,4,64,3.52
4750,Female,4,1,87.36,4
4751,Male,4,3,87.9,3.18
4752,Male,5,2,86.91,2.61
4753,Female,4,2,94.73,3.4
4754,Male,4,2,96.45,3.45
4755,Female,4,4,76.27,3.58
4756,Male,4,4,68.66,2.69
4757,Male,4,1,84.45,3.41
4758,Female,5,1,99.09,3.96
4759,Male,4,3,81.9,2.86
4760,Male,4,3,80,2.86
4761,Male,4,1,80.55,3.27
4762,Male,4,3,80.9,3.11
4763,Male,4,1,83.9,3.73
4764,Female,4,1,98.45,3.58
4765,Female,4,1,77.09,3.14
4766,Female,4,4,78.36,2.67
4767,Male,4,2,99.81,3.76
4768,Male,4,1,77.36,3.15
4769,Female,4,2,96.8,3.93
4770,Female,4,1,87.67,3.82
4771,Male,4,3,87.6,3.44
4772,Female,4,2,97.63,3.94
4773,Male,4,2,85.25,2.89
4774,Male,4,1,97.63,3.43
4775,Female,4,4,59.4,2.9
4776,Female,4,2,70.7,2.89
4777,Female,4,1,96.63,3
4778,Male,4,2,72.45,2.45
4779,Male,5,2,96.45,1.03
4780,Male,4,4,73.54,3.22
4781,Female,4,2,98,3.63
4782,Female,4,4,45,2.85
4783,Male,4,1,89.99,2.9
4784,Male,4,2,79.27,3.36
4785,Male,5,3,89.5,2.48
4786,Male,4,4,83.63,3.37
4787,Male,4,4,77.09,2.76
4788,Female,4,3,64.18,2.49
4789,Female,5,2,99,2.1
4790,Male,4,3,67,2.79
4791,Male,4,1,71.9,2.7
4792,Female,5,1,99.63,3.98
4793,Female,4,3,85,2.69
4794,Female,5,4,91.99,3.13
4795,Male,4,4,84,3.54
4796,Female,4,3,82,2.42
4797,Female,4,2,80,3.49
4798,Female,4,1,94.18,3.77
4799,Male,4,1,50.01,2.12
4800,Female,4,4,79.45,3.52
4801,Female,4,3,92.9,3.6
4802,Female,4,2,98.81,3.72
4803,Female,4,2,69.81,3.75
4804,Female,5,1,99.63,3.98
4805,Male,4,3,94.6,3.21
4806,Female,4,1,76,3.62
4807,Male,4,3,76.45,2.35
4808,Female,4,1,84,3.8
4809,Male,4,4,70.5,2.36
4810,Female,4,2,98.6,3.81
4811,Male,4,4,73.36,2.98
4812,Female,4,4,79.27,3.75
4813,Female,4,2,90.2,3.52
4814,Male,4,3,92.5,2.43
4815,Male,4,2,98,3.24
4816,Male,4,1,88.27,3.56
4817,Female,5,4,83.4,2.41
4818,Male,4,1,63.82,2.65
4819,Male,4,1,85,2.76
4820,Female,4,3,92.54,3.54
4821,Female,4,4,58,3.05
4822,Male,4,3,76.75,2.31
4823,Female,4,3,82,2.34
4824,Female,4,3,86.36,3.77
4825,Female,4,3,61.36,3.4
4826,Female,4,3,89.54,3.62
4827,Male,4,2,52,2.72
4828,Female,4,1,92.63,3.23
4829,Female,4,4,78.6,2.99
4830,Female,4,4,81.7,3.09
4831,Female,4,1,72.5,3.46
4832,Female,4,1,79.09,3.22
4833,Female,4,1,69.18,2.85
4834,Female,4,3,56.91,3.24
4835,Male,4,4,82.02,3.33
4836,Female,4,1,91.45,3.49
4837,Female,4,2,99.4,2.93
4838,Male,5,4,78.72,2.34
4839,Male,4,3,70.69,2.45
4840,Male,4,2,97,3.54
4841,Male,4,4,86,3.36
4842,Female,4,1,98.18,3.9
4843,Male,4,1,92.27,3.14
4844,Female,4,3,90,3.45
4845,Male,5,5,86.09,2.77
4846,Female,4,4,87.27,3.23
4847,Male,4,3,81.63,2.24
4848,Female,4,4,69.9,3.69
4849,Female,4,4,87.09,3.79
4850,Male,5,3,92.63,2.62
4851,Male,4,3,80.9,2.29
4852,Male,4,1,68.81,2.94
4853,Male,4,3,81.09,2.92
4854,Male,4,3,70.81,3.1
4855,Female,4,4,84,3.73
4856,Male,4,4,67.27,3.34
4857,Female,4,2,96.27,3.44
4858,Male,4,1,81.54,3.31
4859,Female,4,2,81,3.16
4860,Male,4,4,86,3.78
4861,Female,4,3,95.09,3.5
4862,Male,4,1,82.18,2.33
4863,Female,5,1,99.18,3.96
4864,Female,4,1,83.09,3.36
4865,Female,4,1,92.63,3.72
4866,Male,4,2,87.93,3.23
4867,Male,4,2,83.9,3.48
4868,Female,4,3,94.75,3.41
4869,Male,5,3,84.55,2.4
4870,Male,5,1,87.82,3.54
4871,Male,5,2,84.09,2.73
4872,Male,4,2,87.27,3.31
4873,Male,4,1,87.81,3.54
4874,Female,4,2,99.27,3.05
4875,Female,4,2,83,3.74
4876,Female,5,2,89.45,2.69
4877,Female,4,4,83,3.17
4878,Male,4,3,87.5,2.62
4879,Female,4,2,72,3.44
4880,Female,4,4,73.5,3.07
4881,Male,4,3,86.9,3.14
4882,Female,4,3,69.63,3.5
4883,Female,4,1,90.6,3.7
4884,Male,4,1,93.81,3.76
4885,Female,4,2,71.72,2.66
4886,Male,4,2,80.98,2.19
4887,Female,4,1,88.2,3.1
4888,Female,4,1,61.59,3.71
4889,Male,4,3,63,3.48
4890,Male,5,4,79.09,2.55
4891,Female,4,1,94.09,3.77
4892,Female,4,3,83.67,3.59
4893,Female,4,3,87.9,3.66
4894,Female,4,2,73.3,3.46
4895,Male,4,2,83.7,1.86
4896,Male,4,3,79.81,3.16
4897,Male,4,1,75.6,3.09
4898,Female,4,2,91.45,3.26
4899,Male,5,2,96,2.65
4900,Male,4,2,97.45,3.72
4901,Male,4,2,58.54,3.34
4902,Male,5,4,91.9,2.24
4903,Male,4,4,78.7,2.74
4904,Female,4,4,91.91,3.73
4905,Male,4,1,84.5,3.42
4906,Female,4,1,95.45,3
4907,Male,4,2,89,3.71
4908,Female,4,1,76.73,3.61
4909,Female,4,2,70,2.03
4910,Male,4,1,82.9,2.81
4911,Female,4,2,91.56,3.53
4912,Male,4,1,94,3.86
4913,Female,4,3,66.36,3.52
4914,Female,4,3,94.81,3.81
4915,Female,4,3,91.2,3.69
4916,Female,4,1,70,2.9
4917,Male,4,1,81.73,3.31
4918,Male,4,4,85.67,2.21
4919,Male,4,1,65.72,2.72
4920,Female,4,2,95.54,3.47
4921,Female,5,4,81.36,2.44
4922,Male,4,1,88.18,3.8
4923,Male,4,4,83.36,3.16
4924,Male,4,1,68,2.81
4925,Female,5,1,97.64,3.9
4926,Female,4,1,96.54,3.86
4927,Male,5,3,79.5,2.81
4928,Female,4,2,99.09,3.94
4929,Female,4,2,83.81,3.05
4930,Female,4,3,70.36,3.41
4931,Female,4,3,71.82,3.52
4932,Male,4,2,84,3.24
4933,Female,4,1,92.36,3.82
4934,Female,4,2,70.36,2.6
4935,Male,4,4,72.7,2.98
4936,Male,4,2,82.9,3.35
4937,Female,4,4,89.6,3.84
4938,Male,4,2,65.82,3.11
4939,Female,4,3,92.55,3.31
4940,Male,4,1,86,3.43
4941,Female,4,1,98.81,3.95
4942,Female,4,2,75,3.75
4943,Female,4,1,94.64,3.89
4944,Female,4,3,86.64,3.84
4945,Female,4,3,75,3.7
4946,Male,4,4,86.57,3.27
4947,Female,4,3,93.64,3.81
4948,Female,4,1,93.27,3.74
4949,Male,4,4,84,3.2
4950,Female,4,2,88.18,3.04
4951,Female,4,1,82.18,3.66
4952,Male,5,1,94,3.77
4953,Male,5,2,99.18,2.91
4954,Male,5,1,95.9,3.84
4955,Female,4,1,68.8,3.38
4956,Male,5,1,97.81,3.91
4957,Male,4,4,78.68,2.98
4958,Male,5,1,94.45,3.78
4959,Female,4,2,89.6,3.54
4960,Female,4,1,95.45,3.23
4961,Female,4,1,81.45,3.28
4962,Female,5,2,99.27,3.17
4963,Female,4,1,80.09,3.74
4964,Female,4,1,54.5,2.31
4965,Male,4,2,94,3.56
4966,Female,5,3,88.3,2.85
4967,Female,5,1,90.82,3.65
4968,Male,4,1,74.9,2.8
4969,Female,4,4,76.79,3
4970,Female,4,4,79.54,3.67
4971,Male,4,1,78.78,3.17
4972,Male,4,1,61.45,2.56
4973,Male,4,1,88.64,3.57
4974,Male,4,4,87.45,3.8
4975,Male,4,3,79.54,2.94
4976,Male,4,1,77.82,3.17
4977,Male,4,4,81.63,3.19
4978,Male,5,2,91.09,2.76
4979,Male,4,2,71.27,2.78
4980,Female,4,4,78.75,3.67
4981,Male,4,3,89.45,3.24
4982,Male,4,3,93.91,3.16
4983,Male,4,4,74.3,3.32
4984,Female,4,2,80,3.08
4985,Female,4,1,92.6,3.69
4986,Female,4,1,89.54,3.6
4987,Female,4,2,98,3.7
4988,Female,4,1,87.85,3.29
4989,Female,4,1,95.9,3.84
4990,Female,4,1,83.18,3.37
4991,Female,4,2,78,3.2
4992,Male,4,1,90.88,3.65
4993,Female,4,1,91.81,3
4994,Female,4,4,90.27,3.07
4995,Female,4,3,92,4
4996,Male,4,3,86.45,3.31
4997,Male,4,4,69.63,2.82
4998,Male,4,4,70.63,3.66
4999,Female,4,4,90.78,3.74
5000,Female,4,4,78.45,3.48
5001,Male,4,2,84.27,3.41
5002,Female,4,1,89.55,3.91
5003,Female,4,3,88.36,3.46
5004,Male,4,3,76.66,2.1
5005,Female,4,3,82.63,3.25
5006,Female,4,3,90.8,3.86
5007,Male,4,4,76.6,3.23
5008,Female,4,2,93.18,3.61
5009,Female,4,1,90,3.62
5010,Male,4,1,88.65,2.68
5011,Male,4,2,72.5,3.29
5012,Female,5,3,84.72,2.77
5013,Male,5,2,99.09,2.26
5014,Female,4,2,93.09,3.56
5015,Male,4,4,81,3.11
5016,Female,4,3,89.9,2.53
5017,Female,4,1,81.36,3.3
5018,Male,4,2,60,2.54
5019,Female,4,1,72.89,3.61
5020,Male,4,3,91.9,3.61
5021,Female,4,1,90.72,3.52
5022,Female,4,1,81.72,3.31
5023,Female,4,2,99.45,3.7
5024,Female,4,2,93,3.71
5025,Female,4,3,51,2.19
5026,Female,4,2,96.45,3.85
5027,Female,4,3,88,3.39
5028,Male,4,3,92.81,2.75
5029,Female,4,3,94.18,3.86
5030,Female,4,3,90.45,3.55
5031,Female,4,1,68.72,3.66
5032,Male,4,3,74,2.77
5033,Male,5,2,93.96,2.62
5034,Female,4,1,75.61,2.68
5035,Male,5,1,98.63,3.94
5036,Male,4,1,94.9,3.8
5037,Male,4,1,91.9,3.69
5038,Female,4,4,60,2.69
5039,Male,4,1,98.36,3.93
5040,Male,4,4,70,2.99
5041,Female,4,3,92.55,3.86
5042,Female,4,3,77.87,3.27
5043,Male,5,2,96,2.74
5044,Female,4,4,90.72,3.78
5045,Male,4,3,87,3.33
5046,Male,4,4,82.72,3.71
5047,Female,4,1,90.89,3.18
5048,Female,5,2,98.18,2.77
5049,Female,4,1,92.9,3.75
5050,Male,4,3,80.9,2.9
5051,Female,5,1,97.54,3.9
5052,Male,4,2,78.09,2.72
5053,Female,4,4,71.45,3.52
5054,Male,4,2,78,3.84
5055,Female,4,4,75.9,3.09
5056,Female,4,4,75.73,3.76
5057,Female,4,4,89.09,3.76
5058,Female,4,1,85.75,3.58
5059,Male,4,1,88.36,3.35
5060,Female,5,5,82.81,1.71
5061,Female,4,2,90.72,3.29
5062,Female,4,2,96.45,3.33
5063,Female,4,2,98.5,3.27
5064,Female,4,3,82.36,3.63
5065,Male,4,2,96.6,3.21
5066,Male,5,1,68.9,2.84
5067,Female,4,4,87,3.46
5068,Male,4,3,69.81,2.95
5069,Female,4,3,91.9,3.42
5070,Female,4,3,88.72,3.45
5071,Female,4,1,81.84,3
5072,Male,5,2,83.36,2.52
5073,Male,5,4,91.36,2.89
5074,Female,4,1,70,2.88
5075,Male,4,3,86.4,3.39
5076,Male,4,1,78,3.18
5077,Female,4,3,78.45,3.94
5078,Female,4,4,77.27,3.68
5079,Female,4,2,64.69,2.7
5080,Female,4,4,81.73,3.65
5081,Male,4,2,84,3.14
5082,Male,4,2,86.09,2.95
5083,Male,4,2,93.9,2.51
5084,Female,4,2,87.63,3.29
5085,Male,4,3,71.63,3.1
5086,Female,4,2,91.27,3.82
5087,Female,4,1,95.18,3.81
5088,Male,4,1,78.82,3.23
5089,Female,4,2,64.9,3.09
5090,Female,4,2,78,3.25
5091,Female,4,4,82.74,3.16
5092,Female,4,1,87.54,3.95
5093,Male,4,4,76.18,2.81
5094,Male,4,4,79.9,2.92
5095,Male,4,2,74,3.26
5096,Male,4,4,65.36,3.22
5097,Female,4,1,86,3.37
5098,Female,4,3,91.63,2.87
5099,Female,4,3,90,3.09
5100,Female,4,4,71.45,3.51
5101,Male,4,2,99,3.9
5102,Male,5,1,84.18,3.4
5103,Female,5,1,99.18,3.96
5104,Male,5,1,95.81,3.83
5105,Female,4,4,61,3.34
5106,Female,4,3,78.27,3.63
5107,Female,4,2,86.9,3.33
5108,Male,5,2,99.81,3.01
5109,Male,4,1,88,2.54
5110,Female,4,4,76.5,3.07
5111,Female,4,2,60.18,2.98
5112,Male,4,2,72.5,2.9
5113,Female,4,4,75,3.42
5114,Male,4,1,79.8,3.24
5115,Male,4,3,77.1,3.92
5116,Female,4,2,90.72,2.91
5117,Female,4,3,78.72,3.95
5118,Male,4,1,96.36,2.38
5119,Male,4,2,80,3.47
5120,Female,4,3,86.45,3.43
5121,Female,4,2,87,3.86
5122,Female,4,2,71.36,3.61
5123,Male,4,2,80.64,2.95
5124,Male,4,3,75.64,2.53
5125,Female,4,3,73.18,3.51
5126,Male,4,1,54.54,2.68
5127,Male,4,1,52,3.33
5128,Male,4,1,73.09,2.99
5129,Female,4,4,90.72,3.4
5130,Male,5,3,87.6,2.37
5131,Female,4,3,80,3.3
5132,Male,4,3,72.09,3.56
5133,Male,4,1,63.27,3.49
5134,Male,4,1,95.36,3.82
5135,Male,4,2,78,3.19
5136,Female,4,2,99.82,3.56
5137,Male,4,3,88.33,2.91
5138,Female,5,2,53.9,3.45
5139,Male,5,4,82,2.34
5140,Female,4,2,96.06,2.91
5141,Male,5,2,85.27,2.66
5142,Female,4,3,80,3.59
5143,Male,4,4,89.74,2.72
5144,Male,4,2,90.36,3.41
5145,Male,4,1,83.54,3.38
5146,Female,4,3,80,3.71
5147,Male,4,1,97.5,3.32
5148,Male,4,3,58,2.27
5149,Female,4,2,93.9,3.88
5150,Female,4,2,96.54,3.37
5151,Female,4,4,89.18,3.2
5152,Male,4,2,96.62,3.32
5153,Male,4,1,84.36,3.44
5154,Male,4,1,80,2.88
5155,Female,4,1,75.72,3.09
5156,Male,4,3,84,3.55
5157,Male,4,1,63.27,2.08
5158,Female,4,2,81.9,2.77
5159,Female,4,4,75.91,3.75
5160,Male,4,1,54.36,2.3
5161,Female,4,1,87.18,3.52
5162,Female,4,4,90.18,3.77
5163,Male,4,4,87.27,3.2
5164,Male,4,3,91.82,3.27
5165,Male,4,3,85,3.31
5166,Male,4,4,74.09,3.43
5167,Female,5,2,89.81,2.55
5168,Male,4,3,76,2.59
5169,Female,4,4,72.09,3.59
5170,Female,4,2,91.64,3.44
5171,Female,4,3,76.4,3.75
5172,Male,4,1,98.91,3.95
5173,Female,4,2,91.18,3.8
5174,Female,4,4,73.81,2.87
5175,Female,4,2,92.63,3.89
5176,Female,5,2,99.81,3.04
5177,Male,4,1,71,2.92
5178,Female,4,2,97.72,2.56
5179,Female,4,3,90.27,3.67
5180,Male,4,3,80.91,2.9
5181,Female,4,2,58,3.39
5182,Female,4,1,79.27,3.54
5183,Female,4,1,75.36,3.08
5184,Male,4,1,72,3.14
5185,Male,4,4,92.45,3.66
5186,Female,5,2,99.1,2.33
5187,Female,4,1,89,3.73
5188,Male,4,4,94.81,3.78
5189,Female,4,3,71,3.53
5190,Female,4,4,81.45,2.99
5191,Female,4,4,73.45,3.57
5192,Female,4,2,80,3.07
5193,Female,4,3,64,3.7
5194,Male,4,2,89.12,2.98
5195,Male,4,1,93,3.18
5196,Male,4,2,63,2.5
5197,Female,4,2,82,3.2
5198,Female,4,2,95.5,2.76
5199,Female,4,2,80,3.63
5200,Male,4,3,86.66,3.29
5201,Female,4,4,53,3.5
5202,Male,5,1,93.55,3.75
5203,Male,4,2,82.8,2.7
5204,Female,4,1,82.54,3.33
5205,Female,4,3,93.73,3.84
5206,Male,4,1,91.81,2.62
5207,Male,4,1,86.54,3.49
